author,published_at,updated_at,like_count,text
@caitlinsoliman1658,2023-10-05T07:48:20Z,2023-10-05T07:48:20Z,0,"Look up fallen angels ans the watchers...also, satan fell like lightning. Peep how they&#39;re using the lightning symbol."
@jaylinchapmanisagreathero2385,2023-10-04T01:14:14Z,2023-10-04T01:14:14Z,0,"<a href=""https://www.youtube.com/watch?v=X0tOpBuYasI&amp;t=0m35s"">0:35</a>"
@jaylinchapmanisagreathero2385,2023-10-04T01:13:49Z,2023-10-04T01:13:49Z,1,"<a href=""https://www.youtube.com/watch?v=X0tOpBuYasI&amp;t=0m39s"">0:39</a>"
@itznobita998,2023-10-03T07:07:36Z,2023-10-03T07:07:36Z,0,Why movei name
@aadityvishwkrm,2023-10-01T04:44:01Z,2023-10-01T04:44:01Z,0,The Rock: बादशाह ए पीर
@stryvia_,2023-09-30T09:02:39Z,2023-09-30T09:02:39Z,0,"If you liked Black Adam , check these out:<br>1. Underworld: Evolution (2006 film)<br>2. Trollhunters: Rise of the Titans (2021 film)<br>3. 10,000 BC (2008 film)<br>4. I, Frankenstein (2014 film)<br>5. Hammer of the Gods (2013 film)<br>...<br>Visit Stryvia to find your next favourite!"
@gamerclash5560,2023-09-27T23:23:48Z,2023-09-27T23:23:48Z,0,Underrated
@sudilos1172,2023-09-26T02:15:45Z,2023-09-26T04:34:22Z,1,"The writing on this is SOOOOOOOO Terrible! The opening UGH! &quot;The worlds first kingdom.&quot; and it&#39;s first ARMY? Why would it even need an Army? And they of course yes. Metal weapons, swords. Not clubs, or spears.   The evil King stole the kingdom. But no he needs a crown. And then he enslaves all of his people. But he forces them to mine. But they&#39;ve never found any of the material to know that they won&#39;t actually get a reward. Urghhh.  Also idk if it&#39;s my side monitor or not, but the frame rate when the scenes pan are dizzying. Other movies don&#39;t do that thou. Shrugs.<br>  Update: Watched the whole thing on my main tv now. I really loved it! Just remember, the whole anti-hero dark hero dark knight bs is just another way to get you to accept evil/darkness/bad guys in the role of your Heros.  They&#39;re bad not because they&#39;re badass. They&#39;re bad because like in real life. They&#39;d just let you be crushed by a stone, and not actually move to save you at the last second."
@Funnyfresh420,2023-09-23T22:31:35Z,2023-09-23T22:57:16Z,0,"What is hollywoods obsession with deleting all red head characters... Little Mermaid, little orphan annie, the girl from a wrinkle in time and now cyclone... could have been such a good movie if it werent infested with affirmative action"
@johntomasik1555,2023-09-22T01:23:04Z,2023-09-22T01:23:04Z,2,"Sometimes you run across a movie that you think is going to be mediocre or stupid, but then it turns out to be great.  This isn&#39;t one of those times.  Lame, at best."
@tropical_maser7jwg861,2023-09-21T02:45:47Z,2023-09-21T02:45:47Z,0,Rip black Adam
@APSweden,2023-09-19T18:44:26Z,2023-09-19T18:44:26Z,0,"Call it Black Adam or brown sausage,  it&#39;s the same old Super Ego boosting Hollywood script about the Rock Staring at his best."
@ScriptYCodexLoveYT,2023-09-17T13:23:25Z,2023-09-17T13:23:25Z,0,"<a href=""https://www.youtube.com/watch?v=X0tOpBuYasI&amp;t=1m12s"">1:12</a> kick Get out Look the rock 😂😂laugh stop"
